mode freq_THz freq_cm-1 activity_E0.05 activity_E0.1
1 -9.7691659415e-02 -3.2586429981e+00 1.0643073996e-02 9.5123496106e-03
2 -6.2127375988e-02 -2.0723461958e+00 5.4260072715e-03 4.7808924560e-03
3 -1.6612660003e-02 -5.5413869026e-01 1.3278350928e-02 9.1647208811e-03
4 2.0667943479e-03 6.8940838662e-02 2.0846275568e-04 4.4822458796e-05
5 5.6449071362e-03 1.8829383414e-01 1.9574825923e-04 1.6605148225e-04
6 1.6557289771e-02 5.5229173815e-01 4.2949410677e-03 6.3260333429e-03
7 7.7278047999e+00 2.5777182159e+02 5.1200101885e+01 5.1488279111e+01
8 7.7280539101e+00 2.5778013102e+02 3.9733296519e+01 3.9870473726e+01
9 7.7321308303e+00 2.5791612244e+02 3.9599333298e+01 3.9711437740e+01
10 7.7330477866e+00 2.5794670881e+02 6.1634176271e+01 6.2694225224e+01
11 7.7347706163e+00 2.5800417622e+02 3.8947977384e+01 3.9138812687e+01
12 1.0043726976e+01 3.3502267013e+02 9.1097318615e-05 9.8584781897e-06
13 1.0048350908e+01 3.3517690789e+02 6.6645652643e-05 8.3913183118e-06
14 1.0055344559e+01 3.3541019097e+02 2.7862804370e-04 7.2230494498e-06
15 1.0382153725e+01 3.4631137135e+02 4.2821487383e-05 3.2886947934e-05
16 1.0387180084e+01 3.4647903264e+02 3.8687582834e-05 4.0038808659e-05
17 1.0388126973e+01 3.4651061745e+02 1.0295836473e-04 1.3283459480e-05
18 1.0389825687e+01 3.4656728044e+02 9.5100379449e-05 2.6673314046e-05
19 1.1900041836e+01 3.9694266879e+02 3.0664748860e-05 2.4604672988e-05
20 1.1900454875e+01 3.9695644630e+02 2.0164720881e-05 1.0095907674e-05
21 1.1900803983e+01 3.9696809126e+02 2.4717699510e-05 9.3675505273e-07
22 1.1901485956e+01 3.9699083943e+02 2.0568618852e-05 1.6309911402e-05
23 1.1902072814e+01 3.9701041492e+02 1.5100130219e-05 6.6793407935e-06
24 1.2721234156e+01 4.2433469610e+02 4.1784469313e-01 4.2248290912e-01
25 1.2722804602e+01 4.2438708055e+02 5.5652783034e-01 6.2651466363e-01
26 1.2726466018e+01 4.2450921224e+02 5.1531396556e-01 5.4294874341e-01
27 1.2729924084e+01 4.2462456091e+02 7.5106872181e-01 7.6478130157e-01
28 1.2731579735e+01 4.2467978748e+02 1.2928581830e+00 1.3796219542e+00
29 1.4311791199e+01 4.7738996819e+02 1.1252480017e+00 1.1202362707e+00
30 1.4312409337e+01 4.7741058706e+02 2.0832714971e-01 1.8281074777e-01
31 1.4313955102e+01 4.7746214822e+02 1.2900770910e+00 1.2474546444e+00
32 1.4316715832e+01 4.7755423627e+02 6.2401687039e-01 6.3705100037e-01
33 1.4619437886e+01 4.8765195708e+02 3.6383395416e+02 3.6477603920e+02
34 1.5729652566e+01 5.2468473258e+02 2.2019176594e-04 3.4741551064e-04
35 1.5732961962e+01 5.2479512218e+02 3.9101282495e-03 7.9527469841e-05
36 1.5734567457e+01 5.2484867571e+02 8.7795423484e-03 8.3826788235e-04
37 1.5829767682e+01 5.2802421342e+02 2.7689333166e-05 6.9047004759e-06
38 1.5834114281e+01 5.2816920035e+02 1.7077577318e-04 2.0816777467e-04
39 1.5835315367e+01 5.2820926425e+02 1.3443685237e-05 7.5466178029e-06
40 1.5835504795e+01 5.2821558290e+02 4.8410420053e-05 5.1617334220e-05
41 1.5836684199e+01 5.2825492358e+02 3.5049329284e-05 1.4369498110e-05
42 1.6443726613e+01 5.4850367895e+02 4.1791519311e-02 4.0734078413e-02
43 1.6444355996e+01 5.4852467291e+02 2.2302062732e-02 2.3956820043e-02
44 1.6444680578e+01 5.4853549977e+02 3.8220669291e-03 4.0929918676e-03
45 1.6809270160e+01 5.6069689917e+02 1.2312536638e-01 1.3149605825e-01
46 1.6811302995e+01 5.6076470725e+02 1.8300536168e-01 1.9297005811e-01
47 1.6812733646e+01 5.6081242864e+02 4.4725733615e-01 4.5782769174e-01
48 1.6846654746e+01 5.6194391474e+02 9.2690010821e-02 9.9494151080e-02
49 1.6847279860e+01 5.6196476632e+02 6.5466582669e-02 9.3191434973e-02
50 1.6848139442e+01 5.6199343888e+02 6.9890684661e-02 6.7827431380e-02
51 1.6848961334e+01 5.6202085425e+02 3.8213216660e-01 4.5519415084e-01
52 1.7300896072e+01 5.7709577444e+02 2.8228283278e-03 1.7563594255e-04
53 1.7301325188e+01 5.7711008820e+02 1.7271918180e-03 1.3632334279e-04
54 1.7302011792e+01 5.7713299086e+02 2.9631868406e-03 1.3692892144e-04
55 1.9800662143e+01 6.6047899519e+02 2.4245170356e-05 3.3608134604e-05
56 1.9801205763e+01 6.6049712842e+02 3.2817991551e-05 7.1897620853e-06
57 1.9801717672e+01 6.6051420387e+02 4.3965622782e-06 7.1589891323e-06
58 1.9802767492e+01 6.6054922209e+02 1.1175655586e-05 4.5908890821e-06
59 1.9803492458e+01 6.6057340436e+02 6.3637708795e-05 1.1293654054e-05
60 2.1154211582e+01 7.0562854460e+02 2.7399520602e-01 2.8707977221e-01
61 2.1154720377e+01 7.0564551618e+02 1.8062157816e-01 1.8816916704e-01
62 2.1155410694e+01 7.0566854266e+02 2.2124930405e-01 2.1254770830e-01
63 2.1155758470e+01 7.0568014321e+02 1.4554182167e-01 1.4392847470e-01
64 2.1155982153e+01 7.0568760451e+02 8.2493016146e-02 6.9047238984e-02
65 2.1274060653e+01 7.0962627928e+02 2.5615740027e-05 4.6452379228e-06
66 2.1274326424e+01 7.0963514445e+02 4.9366549764e-05 1.6646962453e-05
67 2.1274946225e+01 7.0965581880e+02 5.1310007985e-05 8.7403728569e-06
68 2.2021574273e+01 7.3456064972e+02 1.3591958704e-05 7.1045045033e-06
69 2.2022095816e+01 7.3457804652e+02 1.1903076212e-05 4.7985243056e-06
70 2.2022546370e+01 7.3459307538e+02 1.3170102007e-05 1.7219617001e-05
71 2.2022716143e+01 7.3459873839e+02 5.5479571068e-05 2.6057696106e-05
72 2.2023629809e+01 7.3462921503e+02 1.6682595986e-05 4.9223995290e-06
73 2.2228612011e+01 7.4146668531e+02 1.6591591172e-05 8.2060611400e-06
74 2.2229145521e+01 7.4148448129e+02 3.4604103298e-05 1.9073852895e-05
75 2.2229931211e+01 7.4151068906e+02 1.4240409089e-05 1.2763199105e-05
76 2.2230729532e+01 7.4153731819e+02 5.1692636752e-05 9.0933263249e-06
77 2.2610002040e+01 7.5418848727e+02 3.3046408097e-01 3.3503054266e-01
78 2.2610506912e+01 7.5420532802e+02 2.3737121622e-01 2.3740535903e-01
79 2.2610788115e+01 7.5421470794e+02 7.7686123170e-01 7.8891423530e-01
80 2.2611326374e+01 7.5423266230e+02 5.3132898035e-01 5.4114616364e-01
81 2.2781526681e+01 7.5990993344e+02 1.3875553457e+00 1.4726048090e+00
82 2.2782222202e+01 7.5993313354e+02 2.2474982255e-01 2.3951630989e-01
83 2.2782691781e+01 7.5994879703e+02 9.4346877200e-01 1.0270984129e+00
84 2.3102984442e+01 7.7063261018e+02 2.5001561884e+01 2.4986403137e+01
85 2.3106368074e+01 7.7074547598e+02 3.1072522527e+01 3.1085948797e+01
86 2.3108769212e+01 7.7082556934e+02 2.9608042009e+01 2.9609442905e+01
87 2.3113271429e+01 7.7097574714e+02 4.3963476454e+01 4.2589160459e+01
88 2.3116682403e+01 7.7108952496e+02 4.2523708292e+01 4.2519772286e+01
89 2.3238782256e+01 7.7516233767e+02 7.8509426831e-05 5.6739244967e-05
